,0
P00738_P19021,1
P02753_P05452,1
P19021_Q13449,1
P01877_P20774,1
P18065_Q9Y6R7,1
P00738_P49908,1
P00738_P60174,1
P00738_Q02818,1
P06310_P20774,1
P01877_Q08380,1
P05546_Q92876,1
P17936_P43652,1
P02452_P02655,1
P02452_P05546,1
P19652_P61626,1
P05546_P55290,1
P02452_P02763,1
P00738_P01876,1
P19652_P31997,1
P00738_P02750,1
P05546_Q7Z5P9,1
P01877_Q9UKV8,1
P01877_Q9UHG2,1
P01877_Q9NYU2,1
P01877_Q99969,1
P01877_Q96S96,1
P05546_Q7Z3B1,1
P00738_Q12841,1
P01877_P10451,1
P06310_P35542,1
P17936_Q12907,1
P01876_Q99829,1
P00746_P02790,1
P17936_Q7Z5P9,1
P01876_Q8NE71,1
P17936_Q16270,1
P01876_Q8IWV7,1
P06396_P08253,1
P00738_Q14624,1
P00746_P06454,1
P17936_P98160,1
P01876_Q12907,1
P00746_P08253,1
P17936_P51884,1
P17936_P49908,1
P17936_Q96S96,1
P17936_Q9UNU6,1
P17936_Q9Y6R7,1
P00746_P01621,1
P00746_P01608,1
P01877_P02753,1
P00738_Q9Y6R7,1
P01877_P04433,1
P00738_Q99969,1
P06310_P61278,1
P01877_P05452,1
P01877_P07225,1
P00738_Q8IWV7,1
P01877_P07858,1
P00738_Q6UX71,1
P01877_P08123,1
P06310_P36222,1
P00748_P02766,1
P01860_Q99829,1
P07339_P08294,1
P01857_P16152,1
P07225_Q12805,1
P01857_P35542,1
P01857_P23083,1
P01008_P35542,1
P07225_Q6UX71,1
P01008_P36955,1
P01857_P14618,1
P01008_P13473,1
P01857_P14314,1
P01008_P49908,1
P01857_P11277,1
P13987_P43121,1
P01008_Q13451,1
P13987_P23142,1
P01008_P13611,1
P07225_P49908,1
P13987_P18065,1
P14174_P27169,1
P07195_Q9HDC9,1
P07195_Q9Y646,1
P01008_P01877,1
P07225_P08253,1
P01008_P02679,1
P01008_P02787,1
P07225_P25311,1
P01857_Q02818,1
P07225_P32754,1
P01857_Q13451,1
P13987_Q9UKV8,1
P07225_P36955,1
P01008_P08493,1
P07225_P41222,1
P13987_P23083,1
P01857_P06727,1
P06681_Q08380,1
P01009_P12109,1
P01834_Q562R1,1
P13671_P17174,1
P07333_Q14515,1
P01009_P08133,1
P07333_Q8N2S1,1
P07333_Q92876,1
P07333_Q99832,1
P01834_Q8IWV7,1
P01834_P39060,1
P01009_P17936,1
P01834_P19827,1
P07339_P08123,1
P01834_P19652,1
P07339_P08253,1
P01009_P05156,1
P01834_Q96S96,1
P01857_P06396,1
P01009_P01833,1
P01857_P05408,1
P13671_Q9NYU2,1
P13671_Q99829,1
P01857_P04217,1
P07333_P11142,1
P01857_P02766,1
P07333_P17936,1
P01009_P02768,1
P07333_P19021,1
P01857_P02679,1
P07333_P19827,1
P07333_P31997,1
P01834_Q9Y6R7,1
P07333_P35542,1
P14174_Q8N2S1,1
P01859_P04217,1
P14174_Q99674,1
P06727_P20933,1
P00748_Q13740,1
P16035_P27169,1
P01860_P07998,1
P16035_P20774,1
P16035_P19827,1
P00748_Q8N2S1,1
P01860_P06396,1
P06727_P11142,1
P00748_Q99674,1
P00748_Q99829,1
P06727_P39060,1
P06727_P49588,1
P01860_P04207,1
P01860_P04196,1
P06727_P14174,1
P16035_P61769,1
P14174_Q9HDC9,1
P00748_P20774,1
P06681_Q6UXD5,1
P00748_P08697,1
P16035_Q9UKV8,1
P16035_Q9NQ79,1
P01860_P40925,1
P06727_P07333,1
P16035_Q6UX71,1
P16035_P98160,1
P01860_P23083,1
P16035_Q14515,1
P06727_P08133,1
P00748_P36222,1
P06727_P08493,1
P16035_Q12841,1
P00751_P01031,1
P06727_P98160,1
P01860_P02763,1
P14314_Q02818,1
P14314_Q96PD5,1
P00751_P16070,1
P07195_P19021,1
P14314_Q14515,1
P14314_Q12841,1
P01859_P17174,1
P01859_P14174,1
P14618_Q16270,1
P00751_P60174,1
P00751_P61278,1
P01859_P08697,1
P14314_P19652,1
P07195_Q14508,1
P14174_Q9NYU2,1
P00751_P10645,1
P07195_P10451,1
P01859_P98160,1
P00751_P08493,1
P14314_Q9Y646,1
P00751_P07195,1
P14618_P19827,1
P06727_Q9Y646,1
P06727_Q9NYU2,1
P06727_Q9BY67,1
P01859_Q96BZ4,1
P06727_Q99832,1
P00751_P04196,1
P06727_Q96S96,1
P14618_P80748,1
P01860_P01861,1
P00751_P01877,1
O14773_P07333,1
P00450_Q9Y646,1
Q7Z5P9_Q99832,1
O00584_P10643,1
P02763_P25311,1
O00584_P01621,1
P02763_Q9UHG2,1
O14773_P01876,1
Q96KN2_Q9Y6R7,1
P04004_P23083,1
Q12841_Q14515,1
Q13451_Q6UXB8,1
Q8IWV7_Q9NQ79,1
P02763_P06454,1
Q13449_Q99969,1
Q12841_Q14118,1
Q12841_Q13740,1
P02792_Q99674,1
Q7Z3B1_Q7Z5P9,1
P02768_P05546,1
Q99683_Q99969,1
Q6UX71_Q9UKV8,1
Q12841_Q6UX71,1
P02790_P10451,1
Q6UXD5_Q9Y6R7,1
Q8IWV7_Q9UBR2,1
O00391_P31997,1
P02787_P08123,1
P02753_P18065,1
Q6UXD5_Q9UHG2,1
P02790_Q14508,1
P04156_Q9NYU2,1
Q14624_Q9UBR2,1
P02763_P20933,1
P04156_Q9UBR2,1
O14773_P02656,1
O00391_P39060,1
O00584_Q13283,1
O00391_P54289,1
Q16610_Q8IWV7,1
O14773_P04004,1
Q6UX71_Q8NBJ4,1
Q16610_Q7Z5P9,1
Q14624_Q7Z3B1,1
Q6UX71_Q8NE71,1
P02787_P61626,1
P02765_P19652,1
Q92823_Q9HDC9,1
Q12805_Q9HDC9,1
P02766_P19652,1
Q16270_Q9Y6R7,1
P02763_P04275,1
Q7Z3B1_Q99832,1
P02760_P61626,1
O14773_P02747,1
